Title,channel_title,published_at,category_id,view_count,like_count,comment_count,likes_to_views_ratio,comments_to_views_ratio,duration_seconds
Complete Machine Learning In 6 Hours| Krish Naik,Krish Naik,2022-05-28 04:37:31+00:00,27,1625900,26723,655,0.01643581005,0.0004028535563,23872
Machine Learning FULL Course with Practical (10 HOURS) | Learn Free ML in 2025 | Part-1,WsCube Tech,2024-04-15 13:30:09+00:00,27,1597050,43241,1630,0.02707552858,0.001020631151,37007
Machine Learning Tutorial Python -1: What is Machine Learning?,codebasics,2018-06-30 21:31:22+00:00,27,1594904,16731,270,0.01049027999,0.0001692890799,411
Machine Learning Fundamentals: Bias and Variance,StatQuest with Josh Starmer,2018-09-17 16:00:42+00:00,27,1587680,43291,1556,0.02726681241,0.0009800457397,396
Deep Learning | What is Deep Learning? | Deep Learning Tutorial For Beginners | 2023 | Simplilearn,Simplilearn,2019-06-03 14:30:00+00:00,27,1571115,25676,1028,0.0163425234,0.0006543119668,352
Learn Python - Full Course for Beginners [Tutorial],freeCodeCamp.org,2018-07-11 18:00:42+00:00,27,48004241,1108112,45864,0.02308362665,0.0009554155651,16012
I LEARNED CODING IN A DAY #shorts,Agnit Shorts,2023-03-17 04:30:00+00:00,24,31141877,1255613,810641,0.04031911627,0.02603057529,41
Python Tutorial For Beginners In Hindi (With Notes) 🔥,CodeWithHarry,2020-09-24 11:34:17+00:00,27,24863726,640459,122906,0.02575876899,0.004943184905,42744
Coding - Expectation vs Reality | Programming - Expectation vs Reality | Codeiyapa #Shorts,Codeiyapa,2021-04-03 11:44:08+00:00,22,24690677,1119932,7478,0.04535849522,0.0003028673413,38
Python Full Course for free 🐍,Bro Code,2021-02-15 15:00:12+00:00,28,21432510,987666,27797,0.04608260787,0.001296954892,43200
Animation vs. Coding,Alan Becker,2025-03-01 13:00:06+00:00,1,15900984,663212,24497,0.04170886269,0.001540596384,567
Python Tutorial For Beginners in Hindi | Complete Python Course 🔥,CodeWithHarry,2024-06-16 05:36:24+00:00,27,15268966,315818,41749,0.02068365201,0.002734238669,39235
Python Full Course❤️ | Variables & Data Types | Lecture 1,Shradha Khapra,2024-01-26 15:31:21+00:00,22,12218294,202464,8123,0.01657056079,0.0006648227105,4939
Python Tutorial for Beginners | Learn Python in 1.5 Hours,Apna College,2021-12-02 16:36:14+00:00,27,11565187,266334,7968,0.02302893822,0.0006889641569,4632
12 Hour Coding Livestream - Creating an Online Game with Python,Tech With Tim,2019-10-18 05:31:30+00:00,27,11010627,214100,3180,0.0194448491,0.0002888118643,42901
Introduction to Programming & Python | Python Tutorial - Day #1,CodeWithHarry,2022-11-28 11:30:03+00:00,27,10624609,248480,31781,0.02338721139,0.002991262738,710
Python Tutorial for Beginners - Full Course (with Notes & Practice Questions),Apna College,2024-02-12 14:24:29+00:00,27,10009276,162115,8521,0.01619647453,0.0008513102395,37491
How to Start Coding? Learn Programming for Beginners,Apna College,2022-01-25 17:54:00+00:00,27,9425030,345576,7629,0.036665768,0.0008094403085,665
Python Tutorial for Absolute Beginners #1 - What Are Variables?,CS Dojo,2017-12-26 14:57:53+00:00,27,9361587,203407,8573,0.02172783079,0.0009157634367,1478
#0 Python for Beginners | Programming Tutorial,Telusko,2018-08-16 08:58:58+00:00,28,8997835,95477,1206,0.01061110694,0.0001340322273,66
"C++, Java or Python? Which language is best for College Placements in India",Apna College,2021-05-11 17:17:41+00:00,22,8912944,511622,2159,0.05740212691,0.0002422319447,60
Python for Everybody - Full University Python Course,freeCodeCamp.org,2019-05-02 12:05:54+00:00,27,7487045,194245,5044,0.02594414406,0.0006736969427,49210
Harvard CS50’s Introduction to Programming with Python – Full University Course,freeCodeCamp.org,2023-05-01 13:55:40+00:00,27,7417912,202932,3955,0.02735702077,0.0005331688306,57468
Struggling with Python programming? Learn it in a  Simplest way #shorts #pythonprogramming,Error Makes Clever,2023-06-27 11:54:10+00:00,27,7469673,418527,1305,0.05603015607,0.0001747064196,61
Python Full Course for free 🐍,Bro Code,2024-08-20 13:00:54+00:00,27,7272963,236014,13892,0.03245086872,0.001910087827,43200
Python Tutorial for Beginners - Learn Python in 5 Hours [FULL COURSE],TechWorld with Nana,2021-03-05 14:10:17+00:00,27,6572989,167136,3998,0.02542769729,0.0006082467796,19890
Python Tutorial - Python Full Course for Beginners in Tamil,Error Makes Clever,2023-06-29 12:34:28+00:00,27,6547398,157040,5735,0.02398509698,0.0008759203464,34684
New Python Coders Be Like...,Mr. P Solver,2022-07-31 12:57:40+00:00,28,5431419,156100,3133,0.02874018213,0.0005768288956,133
How to become a Senior developer.. ♥️ 😂 #programming #javascript #python #coding #developer #coder .,DIVINE CLASSES AN INSTITUTION Of EDUCATION.,2024-07-20 14:48:32+00:00,27,6332543,200454,3029,0.03165457674,0.000478322772,18
Python OOP Tutorial 1: Classes and Instances,Corey Schafer,2016-06-20 17:00:03+00:00,27,4829674,123109,3876,0.02549012097,0.0008025384731,924
12 Beginner Python Projects - Coding Course,freeCodeCamp.org,2020-12-09 16:03:12+00:00,27,4809354,123225,2370,0.02562193891,0.0004927895737,10829
Intermediate Python Programming Course,freeCodeCamp.org,2020-08-27 17:23:03+00:00,27,4226422,89483,1965,0.02117227736,0.000464932166,21347
తెలుగులో Python నేర్చుకోండి | Learn Python Programming from Basics with Examples 2025,Sundeep Saradhi Kanthety,2020-10-28 10:12:08+00:00,27,4208543,95392,1756,0.02266627128,0.0004172464396,21166
👩‍💻 Python for Beginners Tutorial,Kevin Stratvert,2021-03-25 10:00:08+00:00,28,4106939,89491,3051,0.02179018929,0.0007428888662,3801
Learn Coding & Get a Job (in 2025) 🔥,CodeWithHarry,2025-01-08 13:24:58+00:00,27,4070824,163635,5925,0.04019701166,0.001455478926,1014
How Much A Python Developer Earn ? | Python Developer Salary In India #Shorts #simplilearn,Simplilearn,2024-06-04 14:05:38+00:00,27,4711452,165636,45,0.03515603361,0.00000955,46
Python for Beginners – Full Course [Programming Tutorial],freeCodeCamp.org,2022-08-09 12:54:23+00:00,27,3945712,75028,1612,0.01901506775,0.0004085446661,16800
Python Tutorial for Beginners 1: Install and Setup for Mac and Windows,Corey Schafer,2017-05-17 15:30:00+00:00,27,3912372,46350,1383,0.01184702992,0.0003534939025,929
Lecture 2 : Strings & Conditional Statements | Python Full Course,Shradha Khapra,2024-01-28 10:19:31+00:00,22,3885379,51299,2660,0.01320308438,0.0006846177208,3341
Python Object Oriented Programming (OOP) - For Beginners,Tech With Tim,2020-03-29 17:02:09+00:00,27,3825531,103611,2779,0.02708407615,0.0007264349115,3186
How to Learn to Code,Gohar Khan,2025-07-09 19:17:24+00:00,27,5180273,217927,2819,0.04206862417,0.0005441797094,73
